id,name,birthYear,primaryProfession,wikidataId,tvmazeId,sourceUrl
person-179,Joseph Gordon-Levitt,1981,Actor,Q177311,,https://www.wikidata.org/wiki/Q177311
person-180,Tom Hardy,1977,Actor,Q208026,,https://www.wikidata.org/wiki/Q208026
person-181,Ken Watanabe,1959,Actor,Q211553,,https://www.wikidata.org/wiki/Q211553
person-182,Talulah Riley,1985,Actor,Q269309,,https://www.wikidata.org/wiki/Q269309
person-183,Anne Hathaway,1982,Actor,Q36301,,https://www.wikidata.org/wiki/Q36301
person-184,Mackenzie Foy,2000,Actor,Q94913,,https://www.wikidata.org/wiki/Q94913
person-185,Josh Stewart,1977,Actor,Q117415,,https://www.wikidata.org/wiki/Q117415
person-186,Matt Damon,1970,Actor,Q175535,,https://www.wikidata.org/wiki/Q175535
person-187,Matthew McConaughey,1969,Actor,Q188955,,https://www.wikidata.org/wiki/Q188955
person-188,Ellen Burstyn,1932,Actor,Q211144,,https://www.wikidata.org/wiki/Q211144
person-189,Jessica Chastain,1977,Actor,Q229313,,https://www.wikidata.org/wiki/Q229313
person-190,Kevin Spacey,1959,Actor,Q25144,,https://www.wikidata.org/wiki/Q25144
person-191,Gwyneth Paltrow,1972,Actor,Q34460,,https://www.wikidata.org/wiki/Q34460
person-192,Harve Presnell,1933,Actor,Q1395333,,https://www.wikidata.org/wiki/Q1395333
person-193,Claudia Wells,1966,Actor,Q51125,,https://www.wikidata.org/wiki/Q51125
person-194,Christopher Lloyd,1938,Actor,Q109324,,https://www.wikidata.org/wiki/Q109324
person-195,Lea Thompson,1961,Actor,Q230605,,https://www.wikidata.org/wiki/Q230605
person-196,Crispin Glover,1964,Actor,Q310060,,https://www.wikidata.org/wiki/Q310060
person-197,Thomas F. Wilson,1959,Actor,Q360663,,https://www.wikidata.org/wiki/Q360663
person-198,Michael J. Fox,1961,Actor,Q395274,,https://www.wikidata.org/wiki/Q395274
person-199,Arnold Schwarzenegger,1947,Actor,Q2685,,https://www.wikidata.org/wiki/Q2685
person-200,Linda Hamilton,1956,Actor,Q208214,,https://www.wikidata.org/wiki/Q208214
person-201,Michael Biehn,1956,Actor,Q241510,,https://www.wikidata.org/wiki/Q241510
person-202,Robert Patrick,1958,Actor,Q272977,,https://www.wikidata.org/wiki/Q272977
person-203,Edward Furlong,1977,Actor,Q309631,,https://www.wikidata.org/wiki/Q309631
person-204,Earl Boen,1941,Actor,Q452763,,https://www.wikidata.org/wiki/Q452763
person-205,Joe Morton,1947,Actor,Q459007,,https://www.wikidata.org/wiki/Q459007
person-206,Michael Edwards,1944,Actor,Q3308176,,https://www.wikidata.org/wiki/Q3308176
person-207,David Carradine,1936,Actor,Q187038,,https://www.wikidata.org/wiki/Q187038
person-208,Lucy Liu,1968,Actor,Q188375,,https://www.wikidata.org/wiki/Q188375
person-209,Daryl Hannah,1960,Actor,Q207596,,https://www.wikidata.org/wiki/Q207596
person-210,Vivica A. Fox,1964,Actor,Q220396,,https://www.wikidata.org/wiki/Q220396
person-211,Michael Madsen,1957,Actor,Q220584,,https://www.wikidata.org/wiki/Q220584
person-212,Chiaki Kuriyama,1984,Actor,Q234094,,https://www.wikidata.org/wiki/Q234094
person-213,Julie Dreyfus,1966,Actor,Q263178,,https://www.wikidata.org/wiki/Q263178
person-214,Martin Wuttke,1962,Actor,Q65922,,https://www.wikidata.org/wiki/Q65922
person-215,Sylvester Groth,1958,Actor,Q76187,,https://www.wikidata.org/wiki/Q76187
person-216,Christoph Waltz,1956,Actor,Q76819,,https://www.wikidata.org/wiki/Q76819
person-217,Rod Taylor,1930,Actor,Q308459,,https://www.wikidata.org/wiki/Q308459
person-218,Kerry Washington,1977,Actor,Q232104,,https://www.wikidata.org/wiki/Q232104
person-219,Franco Nero,1941,Actor,Q311716,,https://www.wikidata.org/wiki/Q311716
person-220,Dana Gourrier,2000,Actor,Q23010323,,https://www.wikidata.org/wiki/Q23010323
person-221,Jamie Foxx,1967,Actor,Q171905,,https://www.wikidata.org/wiki/Q171905
person-222,Don Johnson,1949,Actor,Q309788,,https://www.wikidata.org/wiki/Q309788
person-223,Walton Goggins,1971,Actor,Q516690,,https://www.wikidata.org/wiki/Q516690
person-224,Scarlett Johansson,1984,Actor,Q34436,,https://www.wikidata.org/wiki/Q34436
person-225,Josh Brolin,1968,Actor,Q41396,,https://www.wikidata.org/wiki/Q41396
person-226,Mark Ruffalo,1967,Actor,Q41422,,https://www.wikidata.org/wiki/Q41422
person-227,Chris Hemsworth,1983,Actor,Q54314,,https://www.wikidata.org/wiki/Q54314
person-228,William Hurt,1950,Actor,Q105825,,https://www.wikidata.org/wiki/Q105825
person-229,Robert Downey Jr.,1965,Actor,Q165219,,https://www.wikidata.org/wiki/Q165219
person-230,Robert Redford,1936,Actor,Q59215,,https://www.wikidata.org/wiki/Q59215
person-231,Evangeline Lilly,1979,Actor,Q160392,26407,https://www.wikidata.org/wiki/Q160392
person-232,Robert De Niro,1943,Actor,Q36949,,https://www.wikidata.org/wiki/Q36949
person-233,Brett Cullen,1956,Actor,Q176277,,https://www.wikidata.org/wiki/Q176277
person-234,Joaquin Phoenix,1974,Actor,Q185140,,https://www.wikidata.org/wiki/Q185140
person-235,Frances Conroy,1953,Actor,Q233882,,https://www.wikidata.org/wiki/Q233882
person-236,Douglas Hodge,1960,Actor,Q5301604,,https://www.wikidata.org/wiki/Q5301604
person-237,Hannah Gross,1990,Actor,Q17411184,,https://www.wikidata.org/wiki/Q17411184
person-238,Dante Pereira-Olson,2010,Actor,Q64504577,,https://www.wikidata.org/wiki/Q64504577
person-239,D.B. Weiss,1971,Creator; Writer; Director,,14097,https://www.tvmaze.com/people/14097/db-weiss
person-240,David Benioff,1970,Creator; Writer; Director,,14098,https://www.tvmaze.com/people/14098/david-benioff
person-241,Peter Dinklage,1969,Actor,,14072,https://www.tvmaze.com/people/14072/peter-dinklage
person-242,Kit Harington,1986,Actor,,14075,https://www.tvmaze.com/people/14075/kit-harington
person-243,Lena Headey,1973,Actor,,14076,https://www.tvmaze.com/people/14076/lena-headey
person-244,Emilia Clarke,1986,Actor,,14079,https://www.tvmaze.com/people/14079/emilia-clarke
person-245,Sophie Turner,1996,Actor,,14080,https://www.tvmaze.com/people/14080/sophie-turner
person-246,Tim Van Patten,1959,Director,,14111,https://www.tvmaze.com/people/14111/tim-van-patten
person-247,Brian Kirk,,Director,,14135,https://www.tvmaze.com/people/14135/brian-kirk
person-248,Bryan Cogman,1979,Writer,,14146,https://www.tvmaze.com/people/14146/bryan-cogman
person-249,Alan Taylor,,Director,,14186,https://www.tvmaze.com/people/14186/alan-taylor
person-250,Alik Sakharov,1959,Director,,7582,https://www.tvmaze.com/people/7582/alik-sakharov
person-251,David Petrarca,,Director,,7264,https://www.tvmaze.com/people/7264/david-petrarca
person-252,Vanessa Taylor,,Writer,,14216,https://www.tvmaze.com/people/14216/vanessa-taylor
person-253,Daniel Minahan,1962,Director,,1161,https://www.tvmaze.com/people/1161/daniel-minahan
person-254,Alex Graves,1965,Director,,14412,https://www.tvmaze.com/people/14412/alex-graves
person-255,Vince Gilligan,1967,Creator; Writer; Director,,31025,https://www.tvmaze.com/people/31025/vince-gilligan
person-256,Bryan Cranston,1956,Actor; Director,,14245,https://www.tvmaze.com/people/14245/bryan-cranston
person-257,Aaron Paul,1979,Actor,,12328,https://www.tvmaze.com/people/12328/aaron-paul
person-258,Anna Gunn,1968,Actor,,11207,https://www.tvmaze.com/people/11207/anna-gunn
person-259,RJ Mitte,1992,Actor,,31023,https://www.tvmaze.com/people/31023/rj-mitte
person-260,Dean Norris,1963,Actor,,9,https://www.tvmaze.com/people/9/dean-norris
person-261,Adam Bernstein,1960,Director,,6046,https://www.tvmaze.com/people/6046/adam-bernstein
person-262,Jim McKay,,Director,,20057,https://www.tvmaze.com/people/20057/jim-mckay
person-263,J Roberts,,Writer,,31081,https://www.tvmaze.com/people/31081/j-roberts
person-264,Charles Haid,1943,Director,,1927,https://www.tvmaze.com/people/1927/charles-haid
person-265,George Mastras,,Writer,,31064,https://www.tvmaze.com/people/31064/george-mastras
person-266,Terry McDonough,,Director,,10917,https://www.tvmaze.com/people/10917/terry-mcdonough
person-267,Peter Gould,,Writer; Creator,,31069,https://www.tvmaze.com/people/31069/peter-gould
person-268,John Dahl,1956,Director,,393,https://www.tvmaze.com/people/393/john-dahl
person-269,Sam Catlin,,Writer,,31088,https://www.tvmaze.com/people/31088/sam-catlin
person-270,Michelle MacLaren,,Director,,10307,https://www.tvmaze.com/people/10307/michelle-maclaren
person-271,Scott Winant,,Director,,6361,https://www.tvmaze.com/people/6361/scott-winant
person-272,David Simon,1960,Creator; Story; Teleplay,,32743,https://www.tvmaze.com/people/32743/david-simon
person-273,Lance Reddick,1962,Actor,,9696,https://www.tvmaze.com/people/9696/lance-reddick
person-274,Sonja Sohn,1964,Actor,,20082,https://www.tvmaze.com/people/20082/sonja-sohn
person-275,Dominic West,1969,Actor,,26965,https://www.tvmaze.com/people/26965/dominic-west
person-276,Clarke Peters,1952,Actor,,694,https://www.tvmaze.com/people/694/clarke-peters
person-277,Domenick Lombardozzi,1976,Actor,,19684,https://www.tvmaze.com/people/19684/domenick-lombardozzi
person-278,Clark Johnson,1954,Director,,951,https://www.tvmaze.com/people/951/clark-johnson
person-279,Ed Burns,1946,Story,,120035,https://www.tvmaze.com/people/120035/ed-burns
person-280,Peter Medak,,Director,,18329,https://www.tvmaze.com/people/18329/peter-medak
person-281,Clement Virgo,,Director,,32760,https://www.tvmaze.com/people/32760/clement-virgo
person-282,Ed Bianchi,,Director,,15223,https://www.tvmaze.com/people/15223/ed-bianchi
person-283,Elodie Keene,1949,Director,,5165,https://www.tvmaze.com/people/5165/elodie-keene
person-284,Joy Lusco,,Story; Teleplay,,32777,https://www.tvmaze.com/people/32777/joy-lusco
person-285,Steve Shill,,Director,,12581,https://www.tvmaze.com/people/12581/steve-shill
person-286,Richard Price,1981,Story; Teleplay,,32831,https://www.tvmaze.com/people/32831/richard-price
person-287,Rob Bailey,,Director,,1714,https://www.tvmaze.com/people/1714/rob-bailey
