episodeId,personId,characterId,roleName,sourceUrl
episode-027,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-027,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-028,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-028,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-028,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-028,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-028,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-029,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-029,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-029,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-029,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-029,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-030,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-030,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-030,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-030,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-030,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-031,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-031,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-031,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-031,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-031,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-032,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-032,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-032,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-032,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-032,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-033,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-033,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-033,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-033,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-033,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-034,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-034,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-034,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-034,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-034,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
episode-035,person-273,character-152,Lt. Cedric Daniels,https://www.tvmaze.com/shows/179/the-wire
episode-035,person-274,character-153,"Det. Shakima ""Kima"" Greggs",https://www.tvmaze.com/shows/179/the-wire
episode-035,person-275,character-154,"Off. James ""Jimmy"" McNulty",https://www.tvmaze.com/shows/179/the-wire
episode-035,person-276,character-155,Det. Lester Freamon,https://www.tvmaze.com/shows/179/the-wire
episode-035,person-277,character-156,"Det. Thomas ""Herc"" Hauk",https://www.tvmaze.com/shows/179/the-wire
