id,seriesId,seasonId,title,seasonNumber,episodeNumber,year,runtime,rating,ratingSource,description,tvmazeId,sourceUrl
episode-098,series-009,season-025,Mijo,1,2,2015,60,7.8,TVmaze average rating,"As his troubles escalate to a boiling point, Jimmy finds himself in dire straits. An act of carelessness puts Chuck at risk.",57361,https://www.tvmaze.com/episodes/57361/better-call-saul-1x02-mijo
episode-099,series-009,season-025,Nacho,1,3,2015,60,7.7,TVmaze average rating,"Jimmy pulls out all the stops to prove that a dangerous client is innocent, even though it causes some friction with Kim.",109590,https://www.tvmaze.com/episodes/109590/better-call-saul-1x03-nacho
episode-100,series-009,season-025,Hero,1,4,2015,60,7.6,TVmaze average rating,"Jimmy conjures up a bold plan to solicit new clients, but has to face the consequences when the scheme strains his relationship with a rival firm.",109591,https://www.tvmaze.com/episodes/109591/better-call-saul-1x04-hero
episode-101,series-009,season-026,Switch,2,1,2016,60,7.6,TVmaze average rating,Jimmy and Kim's relationship takes a new turn. Mike decides it's for the best to sever his affiliation with an unrestrained associate.,470535,https://www.tvmaze.com/episodes/470535/better-call-saul-2x01-switch
episode-102,series-009,season-026,Cobbler,2,2,2016,60,7.8,TVmaze average rating,Mike brokers a deal in order to keep a potentially messy situation intact; Jimmy tries to exonerate an eccentric client.,603277,https://www.tvmaze.com/episodes/603277/better-call-saul-2x02-cobbler
episode-103,series-009,season-026,Amarillo,2,3,2016,60,7.9,TVmaze average rating,"Jimmy's client outreach efforts succeed, and he exhibits new heights of showmanship; Mike is puzzled by Stacey's upsetting news.",603278,https://www.tvmaze.com/episodes/603278/better-call-saul-2x03-amarillo
episode-104,series-009,season-026,Gloves Off,2,4,2016,60,8.2,TVmaze average rating,"Jimmy's actions unexpectedly create waves for Kim. Meanwhile, Mike cautiously weighs a lucrative proposal that might bring about dire consequences.",628774,https://www.tvmaze.com/episodes/628774/better-call-saul-2x04-gloves-off
episode-105,series-009,season-027,Mabel,3,1,2017,70,7.8,TVmaze average rating,Jimmy and Chuck's relationship deteriorates; Kim feels the pressure of running her own firm; Mike investigates the note left on his car.,1041746,https://www.tvmaze.com/episodes/1041746/better-call-saul-3x01-mabel
episode-106,series-009,season-027,Witness,3,2,2017,70,8.0,TVmaze average rating,Jimmy and Kim hire an assistant; Mike seeks out a mysterious acquaintance; Chuck uses the law to gain an advantage over Jimmy.,1051911,https://www.tvmaze.com/episodes/1051911/better-call-saul-3x02-witness
episode-107,series-009,season-027,Sunk Costs,3,3,2017,70,7.8,TVmaze average rating,Jimmy decides to represent a new client to Kim's dismay; Mike meets a formidable ally who gives a tempting offer.,1051912,https://www.tvmaze.com/episodes/1051912/better-call-saul-3x03-sunk-costs
episode-108,series-009,season-027,Sabrosito,3,4,2017,70,8.0,TVmaze average rating,Jimmy asks a favor of Mike; new complications disrupt Salamancas' business; Chuck and Jimmy struggle with a compromise.,1051913,https://www.tvmaze.com/episodes/1051913/better-call-saul-3x04-sabrosito
episode-109,series-010,season-028,Pilot,1,1,2004,60,8.7,TVmaze average rating,"Out of the blackness, the first thing Jack senses is pain. Then burning sun. A Bamboo forest. Smoke. Screams. With a rush comes the horrible awareness that the plane he was on tore apart in mid-air and crashed on a Pacific island. From there it's a blur, as his doctor's instinct kicks in: people need his help.",10140,https://www.tvmaze.com/episodes/10140/lost-1x01-pilot
