movieId,personId,characterId,roleName,sourceUrl
movie-005,person-229,character-131,Tony Stark,https://www.wikidata.org/wiki/Q23781155
movie-005,person-136,character-132,Nick Fury,https://www.wikidata.org/wiki/Q23781155
movie-006,person-232,character-135,Murray Franklin,https://www.wikidata.org/wiki/Q42759035
movie-006,person-233,character-136,Thomas Wayne,https://www.wikidata.org/wiki/Q42759035
movie-006,person-234,character-137,The Joker,https://www.wikidata.org/wiki/Q42759035
movie-006,person-234,character-138,Arthur Fleck,https://www.wikidata.org/wiki/Q42759035
movie-006,person-235,character-139,Penny Fleck,https://www.wikidata.org/wiki/Q42759035
movie-006,person-236,character-014,Alfred Pennyworth,https://www.wikidata.org/wiki/Q42759035
movie-006,person-237,character-139,Penny Fleck,https://www.wikidata.org/wiki/Q42759035
movie-006,person-238,character-140,Bruce Wayne,https://www.wikidata.org/wiki/Q42759035
movie-003,person-150,character-141,John Wick,https://www.wikidata.org/wiki/Q15732802
